___ annotation is used to specify URI of the resource | @path
DOM is a W3C standard. | t
DOM parser allows random access to document. | t
DOM parser is used for navigating the document recursively | f
DOM supports go-forward only when traversing the XML documents. | f
DOM VS. SAX | -dom loads the entire document into memory
DTD (document type definition) | the purpose of this is to define the structure of an xml document
DTD checks for the structure and content of the XML document | f
DTD declarations from the external subset have priority over the declarations from the internal subset | f
DTD defines the document structure with a list of legal elements. | true
DTD doesnt support namespaces. | t
DTD helps define the legal building blocks of an XML document. | true
DTD is: | document type definition
DTDs are made up of three blocks of declarations and the DOCTYPE declaration | f
DTDs are used to validate XML documents | t
DTDs contain declarations for elements and entities | t
During the redesign of a legacy system, it is decided to use XML as the data exchange format between | key/keyref
Each attribute, element and text in the XML document represents a | node in the tree
Each box has a border that separates it from the edge of the canvas | true
Each object has ________ or data and ________ or behavior. | attributes, methods
Each page has its own instances of the page-scope implicit objects. | a. true
Each relationship can be either ___ or __ | unidirectional or bidirectional
Each XML document can be represented as a tree structure? | true
EJB 3.0 specifications are first implemented in ________ | c. java ee 5
Element content cannot have attributes. | t
Element content means a complex type element that contains only elements | f
Element node is the starting point of the DOM tree | f
Elements are the main building blocks of both | xml and html documents
Elements inside the root are termed as child elements. | true
Elements of simple type constitute the structure of an XML document | f
Elements of simple type describe the content and data type of an element | t
Elements which have absolute position are automatically ________ the text flow. | removed from
Elements with complex type may contain nested elements and have attributes | t
Elements with only character data are declared with | c. #pcdata
Elements, attributes and entities can be declared in any order | t
End of a CDATA block is characterized by the character string | ']]'
Entities are expanded when a document is parsed by an XML | parser
Entities are variables used to define | common text
errors | with xml, __________ are not allowed
Even if all the border options are set using 'solid' as the border style option will remove, or turn off all the borders | false
Event ________ fires constantly whenever the mouse is in motion. | onmousemove
Event bubbling is _______. | the process of child elements passing events to their parent elements.
Every <p> element needs a closing tag, </p>. | .
Every method of the remote interface must throw a __________________ | remoteexception
Every switch structure must have ________ labels which are separated by the keyword break. | c. case
Every XML document must be well formed | true
Every XML document must have an associated DTD or schema | false
